id,name,code,country_id/id
base.state_se_0114,Upplands Väsby,114,base.se
base.state_se_0115,Vallentuna,115,base.se
base.state_se_0117,Österåker,117,base.se
base.state_se_0120,Värmdö,120,base.se
base.state_se_0123,Järfälla,123,base.se
base.state_se_0125,Ekerö,125,base.se
base.state_se_0126,Huddinge,126,base.se
base.state_se_0127,Botkyrka,127,base.se
base.state_se_0128,Salems,128,base.se
base.state_se_0136,Haninge,136,base.se
base.state_se_0138,Tyresö,138,base.se
base.state_se_0139,Upplands-Bro,139,base.se
base.state_se_0140,Nykvarn,140,base.se
base.state_se_0160,Täby,160,base.se
base.state_se_0162,Danderyd,162,base.se
base.state_se_0163,Sollentuna,163,base.se
base.state_se_0180,Stockholm,180,base.se
base.state_se_0181,Södertälje,181,base.se
base.state_se_0182,Nacka,182,base.se
base.state_se_0183,Sundbyberg,183,base.se
base.state_se_0184,Solna,184,base.se
base.state_se_0186,Lidingö,186,base.se
base.state_se_0187,Vaxholm,187,base.se
base.state_se_0188,Norrtälje,188,base.se
base.state_se_0191,Sigtuna,191,base.se
base.state_se_0192,Nynäshamn,192,base.se
base.state_se_0305,Håbo,305,base.se
base.state_se_0319,Älvkarleby,319,base.se
base.state_se_0330,Knivsta,330,base.se
base.state_se_0331,Heby,331,base.se
base.state_se_0360,Tierps,360,base.se
base.state_se_0380,Uppsala,380,base.se
base.state_se_0381,Enköping,381,base.se
base.state_se_0382,Östhammar,382,base.se
base.state_se_0428,Vingåkers,428,base.se
base.state_se_0461,Gnesta,461,base.se
base.state_se_0480,Nyköping,480,base.se
base.state_se_0481,Oxelösund,481,base.se
base.state_se_0482,Flen,482,base.se
base.state_se_0483,Katrineholm,483,base.se
base.state_se_0484,Eskilstuna,484,base.se
base.state_se_0486,Strängnäs,486,base.se
base.state_se_0488,Trosa,488,base.se
base.state_se_0509,Ödeshög,509,base.se
base.state_se_0512,Ydre,512,base.se
base.state_se_0513,Kinda,513,base.se
base.state_se_0560,Boxholm,560,base.se
base.state_se_0561,Åtvidaberg,561,base.se
base.state_se_0562,Finspång,562,base.se
base.state_se_0563,Valdemarsvik,563,base.se
base.state_se_0580,Linköping,580,base.se
